vocab_size,token_count,bytes_per_token,sequence_reduction_pct,train_time_seconds
1000,7096654,3.1708747530878636,68.46296123723653,231.96
2000,6113802,3.680623121259079,72.8306874391987,233.11
4000,5652600,3.9809293068676364,74.88023717791556,239.91
8000,5479500,4.106688748973446,75.64948158659526,253.42
16000,5453404,4.126340355491726,75.76545040282232,280.64
